Which of the following best describes you?,Others Specify_Which of the following best describes you?,responsible research Practices_q1,na_responsible research Practices_q1,responsible research Practices_q2,na_responsible research Practices_q2,responsible research Practices_q3,na_responsible research Practices_q3,responsible research Practices_q4,na_responsible research Practices_q4,responsible research Practices_q5,na_responsible research Practices_q5,responsible research Practices_q6,na_responsible research Practices_q6,responsible research Practices_q7,na_responsible research Practices_q7,responsible research Practices_q8,na_responsible research Practices_q8,responsible research Practices_q9,na_responsible research Practices_q9,responsible research Practices_q10,na_responsible research Practices_q10,responsible research Practices_q11,na_responsible research Practices_q11,responsible research Practices_q12,na_responsible research Practices_q12,responsible research Practices_q13,na_responsible research Practices_q13,responsible research Practices_q14,na_responsible research Practices_q14,responsible research Practices_q15,na_responsible research Practices_q15,responsible research Practices_q16,na_responsible research Practices_q16,responsible research Practices_q17,na_responsible research Practices_q17,responsible research Practices_q18,na_responsible research Practices_q18,responsible research Practices_q19,na_responsible research Practices_q19,responsible research Practices_q20,na_responsible research Practices_q20,fair research practices_q1,na_fair research practices_q1,fair research practices_q2,na_fair research practices_q2,fair research practices_q3,na_fair research practices_q3,fair research practices_q4,na_fair research practices_q4,fair research practices_q5,na_fair research practices_q5,fair research practices_q6,na_fair research practices_q6,fair research practices_q7,na_fair research practices_q7,fair research practices_q8,na_fair research practices_q8,fair research practices_q9,na_fair research practices_q9,fair research practices_q10,na_fair research practices_q10,fair research practices_q11,na_fair research practices_q11,fair research practices_q12,na_fair research practices_q12,fair research practices_q13,na_fair research practices_q13,fair research practices_q14,na_fair research practices_q14,fair research practices_q15,na_fair research practices_q15,fair research practices_q16,na_fair research practices_q16,fair research practices_q17,na_fair research practices_q17,fair research practices_q18,na_fair research practices_q18,fair research practices_q19,na_fair research practices_q19,fair research practices_q20,na_fair research practices_q20,Which country are you from?,other_Which country are you from?,What discipline of global health based describes you:,other_What discipline of global health based describes you:,What is you gender?,other_gender,How many years of involvement in research do you have?,What is your highest academic rank?,other_What is your highest academic rank?,How best do you describe your current role?,other_How best do you describe your current role?,May we contact you for a follow-up interview?,You may leave your email address here:
Researcher from the Global South,,N/A,,Always,,Very Rarely,,Very Rarely,,Very Rarely,,Occasionally,,Rarely,,Occasionally,,Occasionally,,Rarely,,Rarely,,Occasionally,,Very Rarely,,Always,,Rarely,,Very Rarely,,Very Rarely,,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Never,,Very Frequently,,Always,,Always,,Always,,Always,,Always,,Never,,Very Frequently,,Never,,Never,,Frequently,,Frequently,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Sub-Saharan Africa,University,Political sciences/Health economics,,Female,,Early Career (< 3 years post-education),Bachelor or Master degree,,Researcher,,Yes,
Researcher from the Global South,,Never,,Never,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Never,,Occasionally,,N/A,,Never,,Never,,Always,,Never,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Frequently,,Occasionally,,Occasionally,,Occasionally,,Always,,Always,,Rarely,,Sub-Saharan Africa,CSRS,Biostatistics/Epidemiology,,Male,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Research manager   (I manage one or more research projects),,Yes,
Researcher from the Global North,,Always,,Always,,Very Rarely,,Never,,Very Rarely,,Always,,Never,,Never,,N/A,,Very Rarely,,Never,,Always,,Frequently,,Always,,N/A,,N/A,,N/A,,N/A,,Never,,Always,,Very Frequently,,N/A,Are politicians end-users? Then I was in a dialogue with them,Always,,Always,,Always,,Always,,Always,,N/A,Reviews are not considered for ethical appeoval,N/A,,Never,,Always,,Never,,N/A,,Very Frequently,,Frequently,,Always,,Occasionally,,Always,,Always,,Very Rarely,,Europe and Central Asia,SwissTPH,Biostatistics/Epidemiology,,Female,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,No,
Researcher from the Global South,,Never,,N/A,no errors in my published were identified ,Never,,Never,,Never,,Always,,Very Rarely,,Rarely,as pointed out by reviewers that I had overestimated or underestimated an effect for example,Always,,Very Rarely,,Never,,Always,,Occasionally,,Always,,Rarely,,Always,,Never,,Very Rarely,peer review ensures that limitations and flaws are indicated ,Very Rarely,,Very Frequently,,Never,,Occasionally,,N/A,the study I work on is a large national study that does not have local researchers per se,Always,,Occasionally,where possible,Always,,Very Frequently,,Always,,N/A,the study i work on is based only in one country,N/A,"as above, we do not have local researchers as partners",Frequently,,Never,,Never,,Occasionally,,Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Always,,East Asia and Pacific,,Biology/Medicine,,Female,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,,Occasionally,,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Never,,Always,,Very Rarely,,Never,,Always,,Occasionally,,Always,,N/A,,N/A,,N/A,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Very Rarely,,Always,,Always,,Always,,Always,,Very Frequently,,Always,,Frequently,,Very Rarely,,Very Frequently,,Never,,Rarely,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Frequently,,Frequently,,N/A,,North America,TTUHSC,Other (please specify),public health,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global North,,Never,,N/A,I don't recall any case of an error being discerned,N/A,This seems a bizarre question.  Maybe an illustrative story?,Never,I tend to work within my skill set while updating it. ,Never,I don't currently have grad students or postdocs to undernourish,Always,,Never,,Never,,N/A,I've never heard of such a registration procedure and believe that a degree of privacy is sometimes essential to creative testing of tentative ideas,Never,,Never,,Always,I've never discarded a research result in 40+ years,Frequently,Some collaborators preferred subscription-revenue journals,Always,,Never,,Occasionally,"Genetic sequences, yes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global South,,Never,,N/A,Did not have any errors that I or my colleagues found,Never,,Never,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Very Frequently,,Never,,Never,,Always,,Always,,Always,,Very Frequently,,Never,,Never,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Very Frequently,,Rarely,,Occasionally,,Always,,Always,,Always,,Very Frequently,,Europe and Central Asia,,Political sciences/Health economics,,Female,,Mid-career (3-10 years post-education),Bachelor or Master degree,,Researcher,,Yes,
Researcher from the Global North,,Never,,Very Frequently,,Never,,Rarely,,Very Rarely,,Frequently,,Never,,Very Rarely,,Never,,Occasionally,,Occasionally,,Very Frequently,,Occasionally,,Always,,Frequently,,Frequently,,Frequently,,Very Rarely,,Very Rarely,,Always,,Very Rarely,,Very Rarely,,Always,,Always,,Very Frequently,,Always,,Always,,Always,,Always,,Very Rarely,,Frequently,,Very Frequently,,Never,,Always,,Very Frequently,,Very Frequently,,Frequently,,Always,,Always,,Occasionally,,Europe and Central Asia,ihmt-unl,Biology/Medicine,,Male,,Established (>10 years post-education),Prefer not to disclose,,Research manager   (I manage one or more research projects),,No,
Researcher from the Global North,,Never,,N/A,Never placed in this situation,Never,Data collection within my direct scope of responsibility,Never,,Rarely,Lack of time,Very Frequently,,Never,,Never,,Always,Studies registered on clinicaltrials.gov,Rarely,,Never,,Always,,Always,,Always,,Occasionally,External pressure from funder/sponsor/employer not to publish negative findings - difficulty to publish negative findings in journals,Always,Would also suggest publishing data descriptors of the open dataset (otherwise very difficult to reuse data),Always,Open source on GitHub,Never,,Very Rarely,,Very Frequently,Time constraints,Frequently,"Was the original plan, but did not have this access unfortunately so this consultation did not happen",Never,"consultation with WHO and MoHs, and international experts",Always,,Frequently,Unbalanced interactions/processes - with few updates/inputs from research partners at that stage (definitely an area for improvement),Always,,Very Frequently,,Frequently,"Recurrent issues of communication and transparency, also too many last minute decisions meaning not all relevant parties present",Always,,Always,,Never,,Frequently,Underestimation of the necessary technical skills to coordinate and conduct the scheduled data collections (and very clear operational difference when technical criteria met) - cultural criteria always met (local staff only),Very Rarely,"Processes in place to guarantee this, but also pressure on high recruitment",Occasionally,,N/A,"Other organisation in charge of dissemination, processes and dissemination plan not shared with us",N/A,"Other organisation in charge of dissemination, processes and dissemination plan not shared with us",N/A,"Other organisation in charge of dissemination, processes and dissemination plan not shared with us",N/A,"Other organisation in charge of dissemination, processes and dissemination plan not shared with us",Occasionally,,Occasionally,,Very Frequently,,Europe and Central Asia,,Mathematics/Computer science,,Female,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,N/A,,Occasionally,,Very Rarely,,Rarely,,Very Frequently,,Occasionally,,Very Rarely,,Never,,Never,,Never,,Always,,Occasionally,"When I had funding available through my institution or as required by the funder, I always did. ",Always,,Rarely,,Never,A note was made available in the publications that I could be contacted in order to access the data,Never,A note was made available in the publications that I could be contacted in order to access the code,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Frequently,,Very Frequently,,Very Frequently,,Frequently,,Very Frequently,,Occasionally,,Always,,Always,,Never,,Always,,Never,,Rarely,,Never,,Occasionally,,Never,,Never,,Very Frequently,,Frequently,,N/A,Data were not made open access,Europe and Central Asia,,Other (please specify),Public health and psychology,Female,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Researcher,,No,
Researcher from the Global North,,Never,,N/A,This has not been necessary for any of my published work although I would gladly do this if I or others found errors,Never,,Occasionally,,Never,,Always,,Never,,Never,,Very Frequently,,Very Rarely,,Never,,Always,,Always,,Very Frequently,,Never,,N/A,"This question is not always applicable to our research because we use National Health Service data within a Safe Have (the SAIL Databank) and therefore cannot make the data available. In addition, for the global health studies, the data are held by the organization who coordinated the studies. The plan is to make the data fully accessible but we are not in control of the process.",Rarely,,Very Rarely,,Very Rarely,,Always,,Never,,Never,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Never,,Very Frequently,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Occasionally,,Europe and Central Asia,Cardiff University,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global North,,Never,,N/A,"I don't recall having this experience in the last 3 years, Before that I have taken all available steps to correct any errors identified",Very Rarely,,Very Rarely,,Very Rarely,,Frequently,,Very Rarely,,Never,,N/A,not usually relevant for on-going longitudinal studies ,Very Rarely,,Never,,Always,,Very Frequently,,Very Frequently,,Occasionally,,Occasionally,,Rarely,,Rarely,,Rarely,,Always,,Very Frequently,,Very Frequently,,Very Rarely,,Never,,Very Frequently,,Occasionally,,Very Frequently,,Always,,Always,,Very Rarely,,Very Frequently,,Never,,Occasionally,,Very Rarely,,Very Rarely,,Very Frequently,,Occasionally,,Very Frequently,,Very Frequently,,Very Frequently,,East Asia and Pacific,University of Queensland,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Researcher,,No,
Researcher from the Global North,,Never,,N/A,This has not been raised with me,Very Rarely,I'm a bit confused by this question,Very Rarely,,Occasionally,,Always,,Never,,Never,,Occasionally,,Very Rarely,,Never,,Always,,Occasionally,We have no funding for this and so usually can't afford it,Always,,Very Rarely,,Rarely,I'm not sure how to do this,N/A,I don't use programming code or syntaxes,Never,,Never,,Always,I'm not sure it's meticulous but I do carefully check it,Occasionally,,Very Rarely,,Always,I take it this is specifically for research in low and middle income countries? The way it is written this is not clear,Always,They could probably have been a bit more detailed but they are always prepared in consultation,Always,,Very Frequently,,Frequently,,Rarely,Ethics is usually only obtained from one institution covering the study,Rarely,Ethics is obtained from the country where the study is being done  e.g we collaborate with the University of Ghana for research based in Ghana and we get ethics approval from Ghana (not from my institute in Australia) ,Never,,Very Frequently,,Never,,Never,,Rarely,,Very Frequently,,Occasionally,,Occasionally,,Frequently,,N/A,I don't understand this question? ,Never,,East Asia and Pacific,University of Queensland,Political sciences/Health economics,,Female,,Mid-career (3-10 years post-education),Postdoc or Assistant Professor,,Other (please specify),"Senior Lecturer (I spend 40% of my time teaching, 40% on research that I manage)",No,
Researcher from the Global South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Researcher from the Global North,,Never,,Always,,Very Rarely,Funding amounts and timelines can make it difficult to develop optimal tools,Never,,Occasionally,"Distance, lack of internet coverage and competing demands could make it difficult to supervise as closely as I would have liked in a resource poor setting",Very Frequently,,Never,,Never,,N/A,Relevant for clinical trials,Never,,Never,,Very Frequently,Resources in LIC did not always permit optimal levels of security,Frequently,,Always,,N/A,,Never,Data are highly sensitive and belong to the local institution not me,N/A,"I do not conduct clinical trials, no funding for this activity",Very Rarely,,Never,,Always,,Occasionally,,Never,,Very Frequently,,Very Frequently,,Frequently,,Always,,N/A,"do not understand the question, overly broad",Always,,Always,,Never,,Always,,Never,,Never,,Occasionally,,Occasionally,,Occasionally,,Occasionally,,Always,,Very Frequently,,N/A,,North America,University of Michigan,Biostatistics/Epidemiology,,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Other (please specify),I  have been a researcher from the global south and am now a researcher in the global north (10 years in the global south and 10 years in the global north),Never,,Always,,Never,,Never,,Never,,Always,,Never,"I am unsure how to answer this question. I have always selected the most suitable design and tools for the research question and setting. Sometimes these are also influenced by practical choices (e.g., cost of study instruments). I would always argue that every study has limitations.  ",Never,,Always,,Never,,Never,"Critical information is always in the paper, but I also make the most of supplementary materials to provide more details (e.g., interview guide)",Always,,Very Frequently,There have been occasions when I have not been able to afford open access costs.,Always,,Never,,Frequently,"I have always made data available on request, but I also am concerned that sometimes these data are 'grabbed' by those with no context knowledge or study knowledge to support interpretation and may end up excluding authors from the global south. ",Frequently,,Never,,Never,,Always,,Never,,Never,I think we have a responsbility to value mixed methods research that allows meaningful engagement of end-users. ,Always,"This is not only applicable to north-south partnerships, but also north-north, south-south and in-country community partnerships. As a researcher, we should always be aware of our positionality. ",Always,,Always,I think we need to advocate more strongly with funders the importance of building in time and resources to do this phase of work optimally. ,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Always,I believe this should also be recognized more explicitly by academia as critical and be an integral part of the training we offer to our mentees ,Always,,Always,,Always,,Always,,Always,,Very Frequently,,North America,Harvard,Other (please specify),Public Health,Female,,Established (>10 years post-education),Associate Professor or Full Professor,,Other (please specify),Researcher- Faculty,Yes,
Researcher from the Global North,,Rarely,because I am the source (literaly) and I will be harmed in my institution if I publicly say so,Very Frequently,,Very Rarely,,Rarely,,Rarely,,Very Frequently,,Very Rarely,,Rarely,,Never,,N/A,I do'nt understand... ,Very Rarely,i do not recall having done that... ,Always,there are commitements with participants (for example to destroy the raw data after 5 years of publication. I will do,Always,,Always,,N/A,did not have negative studies,Never,in this period I had commited with participants to destroy the raw data and not making it acessible to others.,N/A,don't understand but don't think I had programmimg codes ,Rarely,"I have been criticized for long explanations on limitations, with which I star the discussion ",Very Rarely,,Frequently,,Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Always,,Very Frequently,,Always,,Always,,Never,,Always,,Very Rarely,,Occasionally,,Always,,Very Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Occasionally,,N/A,data was not openly acessible,Europe and Central Asia,,Biology/Medicine,,Female,,Established (>10 years post-education),PhD degree,,Researcher,,No,
Researcher from the Global North,,Never,,Always,,Never,,Never,,Very Rarely,,Always,,Never,,Never,,Always,,Very Rarely,,Never,,Always,,Frequently,"Funding-dependent. ALWAYS if it was possible with funding, otherwise we went through ""green route"" open access options, though this typically requires at least 12 months of ""embargo"" behind a paywall.",Always,,Rarely,,Occasionally,"We always make datasets available on request. Not all have made their way into an open-access platform, however. ",N/A,,Never,,Never,,Always,Colleagues also check this to ensure correctness.,Rarely,Sometimes it's not always possible (sometimes it necessitates community engagement that is not possible within the confines of short study timeframes that do not allow for such considerations. Though I appreciate that's absolutely NOT best practice).,Never,,Always,,Always,,Always,,Always,,Always,,Always,,Always,,Never,,Always,,Never,,Never,,Frequently,,Very Frequently,,Very Frequently,,Very Frequently,,Always,,Always,,Rarely,"Admittedly, we could have done much more to encourage this. Barring use of data by students, this didn't really take place. ",Europe and Central Asia,LSTM,Other (please specify),Public Health,Female,,Mid-career (3-10 years post-education),PhD degree,,Researcher,,Yes,
Researcher from the Global North,,Never,,Always,,Never,,Never,,Never,,Always,,Never,,Never,,Always,,Never,,Never,,Always,,Frequently,,Always,,Never,,Rarely,,Occasionally,,Never,,Always,,Always,,Frequently,,Rarely,,Rarely,,Rarely,,Rarely,,Always,,Frequently,,Always,,Always,,Rarely,,Never,,Never,,Very Frequently,,Very Rarely,,Very Rarely,,Never,,Very Rarely,,Always,,Never,,Never,,East Asia and Pacific,,Biostatistics/Epidemiology,,Prefer not to disclose,,Established (>10 years post-education),PhD degree,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,No,
Researcher from the Global North,,Never,as it is a 'not' question never means I always disclosed who funded ,Always,,Never,,Very Rarely,,Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Very Frequently,,Very Rarely,,Very Rarely,,Very Frequently,,Very Frequently,,Always,,Very Rarely,,Occasionally,,Very Rarely,,Rarely,,Very Rarely,,Always,,Very Rarely,,Rarely,,Always,,Always,,Very Frequently,,Always,,Frequently,,Very Frequently,,Very Frequently,,Never,,Always,,Never,,Rarely,,Frequently,,Frequently,,Occasionally,,Occasionally,,Always,,Always,,Very Frequently,,Europe and Central Asia,Global Health Institute,Biology/Medicine,,Male,,Established (>10 years post-education),Associate Professor or Full Professor,,Leadership position (I have management responsibilities beyond/independently of individual research projects and I am responsible for the strategic development of the unit/department/institute that I manage),,Yes,
